category_id,group_id,name,abbreviation,published_on,is_supplemental
3,2545,SWSH: Sword & Shield Promo Cards,SWSD,2019-11-15T00:00:00,False
3,2534,SM - Cosmic Eclipse,SM12,2019-11-01T00:00:00,False
3,2555,McDonald's Promos 2019,M19,2019-10-01T00:00:00,False
3,2480,Hidden Fates,HIF,2019-08-23T00:00:00,False
3,2594,Hidden Fates: Shiny Vault,HIF:SV,2019-08-23T00:00:00,False
3,2464,SM - Unified Minds,SM11,2019-08-02T00:00:00,False
3,2420,SM - Unbroken Bonds,SM10,2019-05-03T00:00:00,False
3,2409,Detective Pikachu,DEP,2019-04-05T00:00:00,False
3,2377,SM - Team Up,SM9,2019-02-01T00:00:00,False
3,2328,SM - Lost Thunder,SM8,2018-11-02T00:00:00,False
3,2364,McDonald's Promos 2018,M18,2018-11-02T00:00:00,True
3,2295,Dragon Majesty,DRM,2018-09-07T00:00:00,False
3,2278,SM - Celestial Storm,CES,2018-08-03T00:00:00,False
3,2282,World Championship Decks,WCD,2018-07-01T00:00:00,False
3,2209,SM - Forbidden Light,SM06,2018-05-04T00:00:00,False
3,2208,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,SMK2,2018-04-06T00:00:00,True
3,2178,SM - Ultra Prism,SM05,2018-02-02T00:00:00,False
3,2148,McDonald's Promos 2017,M17,2017-11-07T00:00:00,True
3,2071,SM - Crimson Invasion,SM04,2017-11-03T00:00:00,False
3,2054,Shining Legends,SHL,2017-10-06T00:00:00,False
3,1957,SM - Burning Shadows,SM03,2017-08-04T00:00:00,False
3,1919,SM - Guardians Rising,SM02,2017-05-05T00:00:00,False
3,23095,Ash vs Team Rocket Deck Kit (JP Exclusive),AVTR,2017-04-21T00:00:00,False
3,2069,SM Trainer Kit: Lycanroc & Alolan Raichu,SMK1,2017-04-21T00:00:00,False
3,1863,SM Base Set,SM01,2017-02-03T00:00:00,False
3,1861,SM Promos,SMP,2016-12-14T00:00:00,False
3,1842,XY - Evolutions,EVO,2016-11-02T00:00:00,False
3,1840,Deck Exclusives,PR,2016-09-01T00:00:00,False
3,3087,McDonald's Promos 2016,M16,2016-08-05T00:00:00,True
3,1815,XY - Steam Siege,STS,2016-08-03T00:00:00,False
3,1539,League & Championship Cards,PR,2016-06-01T00:00:00,False
3,1780,XY - Fates Collide,FCO,2016-05-02T00:00:00,False
3,1796,XY Trainer Kit: Pikachu Libre & Suicune,PR,2016-04-27T00:00:00,False
3,1728,Generations,GEN,2016-02-22T00:00:00,False
3,1729,Generations: Radiant Collection,GEN,2016-02-22T00:00:00,False
3,1701,XY - BREAKpoint,BKP,2016-02-03T00:00:00,False
3,1694,McDonald's Promos 2015,M15,2015-11-23T00:00:00,False
3,1661,XY - BREAKthrough,BKT,2015-11-04T00:00:00,False
3,1576,XY - Ancient Origins,AOR,2015-08-12T00:00:00,False
3,1534,XY - Roaring Skies,ROS,2015-05-06T00:00:00,False
3,1536,XY Trainer Kit: Latias & Latios,PR,2015-04-29T00:00:00,False
3,1528,Jumbo Cards,PR,2015-04-01T00:00:00,False
3,1525,Double Crisis,DCR,2015-03-25T00:00:00,False
3,1509,XY - Primal Clash,PRC,2015-02-04T00:00:00,False
3,1533,XY Trainer Kit: Bisharp & Wigglytuff,PR,2014-11-14T00:00:00,False
3,1494,XY - Phantom Forces,PHF,2014-11-05T00:00:00,False
3,1481,XY - Furious Fists,FFI,2014-08-13T00:00:00,False
3,1692,McDonald's Promos 2014,M14,2014-05-23T00:00:00,False
3,1464,XY - Flashfire,FLF,2014-05-07T00:00:00,False
3,1532,XY Trainer Kit: Sylveon & Noivern,PR,2014-03-12T00:00:00,False
3,1387,XY Base Set,XY,2014-02-05T00:00:00,False
3,1451,XY Promos,PR,2013-12-16T00:00:00,False
3,1522,Kalos Starter Set,KSS,2013-11-08T00:00:00,False
3,1409,Legendary Treasures,LTR,2013-11-06T00:00:00,False
3,1465,Legendary Treasures: Radiant Collection,LTR,2013-11-06T00:00:00,False
3,1370,Plasma Blast,PLB,2013-08-14T00:00:00,False
3,1382,Plasma Freeze,PLF,2013-05-08T00:00:00,False
3,1413,Plasma Storm,PLS,2013-02-06T00:00:00,False
3,1408,Boundaries Crossed,BCR,2012-11-07T00:00:00,False
3,1426,Dragon Vault,DRV,2012-10-05T00:00:00,False
3,1394,Dragons Exalted,DRX,2012-08-15T00:00:00,False
3,1427,McDonald's Promos 2012,M12,2012-06-15T00:00:00,False
3,1386,Dark Explorers,DEX,2012-05-09T00:00:00,False
3,1412,Next Destinies,NXD,2012-02-08T00:00:00,False
3,1385,Noble Victories,NVI,2011-11-16T00:00:00,False
3,1538,BW Trainer Kit: Excadrill & Zoroark,BLW,2011-09-05T00:00:00,False
3,1424,Emerging Powers,EPO,2011-08-31T00:00:00,False
3,1401,McDonald's Promos 2011,M11,2011-06-17T00:00:00,False
3,1400,Black and White,BLW,2011-04-25T00:00:00,False
3,1407,Black and White Promos,PR,2011-04-25T00:00:00,False
3,1415,Call of Legends,CL,2011-02-09T00:00:00,False
3,1381,Triumphant,TM,2010-11-03T00:00:00,False
3,1403,Undaunted,UD,2010-08-18T00:00:00,False
3,1540,HGSS Trainer Kit: Gyarados & Raichu,PR,2010-05-12T00:00:00,False
3,1399,Unleashed,UL,2010-05-12T00:00:00,False
3,1402,HeartGold SoulSilver,HS,2010-02-10T00:00:00,False
3,1453,HGSS Promos,PR,2010-02-01T00:00:00,False
3,1433,Rumble,RUM,2009-11-16T00:00:00,False
3,1391,Arceus,AR,2009-11-04T00:00:00,False
3,1384,Supreme Victors,SV,2009-08-19T00:00:00,False
3,1367,Rising Rivals,RR,2009-05-16T00:00:00,False
3,1406,Platinum,PL,2009-02-11T00:00:00,False
3,1369,Stormfront,SF,2008-11-05T00:00:00,False
3,2155,Countdown Calendar Promos,CCP,2008-10-01T00:00:00,True
3,1417,Legends Awakened,LA,2008-08-20T00:00:00,False
3,1390,Majestic Dawn,MD,2008-05-21T00:00:00,False
3,1405,Great Encounters,GE,2008-02-13T00:00:00,False
3,1380,Secret Wonders,SW,2007-11-07T00:00:00,False
3,609,DP Training Kit 1 Blue,PR,2007-09-24T00:00:00,False
3,610,DP Training Kit 1 Gold,PR,2007-09-24T00:00:00,False
3,1541,DP Trainer Kit: Manaphy & Lucario,PR,2007-09-03T00:00:00,False
3,1368,Mysterious Treasures,MT,2007-08-22T00:00:00,False
3,1430,Diamond and Pearl,DP,2007-05-23T00:00:00,False
3,1421,Diamond and Pearl Promos,PR,2007-05-01T00:00:00,False
3,1383,EX Power Keepers,PK,2007-02-01T00:00:00,False
3,1411,EX Dragon Frontiers,DF,2006-11-08T00:00:00,False
3,1395,EX Crystal Guardians,CG,2006-08-30T00:00:00,False
3,1379,EX Holon Phantoms,HP,2006-05-03T00:00:00,False
3,1378,EX Legend Maker,LM,2006-02-13T00:00:00,False
3,1429,EX Delta Species,DS,2005-10-31T00:00:00,False
3,1398,EX Unseen Forces,UF,2005-08-22T00:00:00,False
3,1410,EX Emerald,EM,2005-05-09T00:00:00,False
3,1404,EX Deoxys,DX,2005-02-14T00:00:00,False
3,1428,EX Team Rocket Returns,RR,2004-11-01T00:00:00,False
3,1853,EX Battle Stadium,BST,2004-10-18T00:00:00,False
3,1419,EX FireRed & LeafGreen,RG,2004-08-30T00:00:00,False
3,2214,Kids WB Promos,KWBP,2004-07-02T00:00:00,False
3,1416,EX Hidden Legends,HL,2004-06-14T00:00:00,False
3,1377,EX Team Magma vs Team Aqua,MA,2004-03-15T00:00:00,False
3,1376,EX Dragon,DR,2003-11-24T00:00:00,False
3,1392,EX Sandstorm,SS,2003-09-18T00:00:00,False
3,1393,EX Ruby and Sapphire,RS,2003-06-18T00:00:00,False
3,1372,Skyridge,SK,2003-05-12T00:00:00,False
3,1397,Aquapolis,AQ,2003-01-15T00:00:00,False
3,1455,Best of Promos,PR,2002-12-01T00:00:00,False
3,1375,Expedition,EX,2002-09-15T00:00:00,False
3,24493,e-Reader Sample Cards,SAMPLE,2002-08-02T00:00:00,False
3,1374,Legendary Collection,LC,2002-05-24T00:00:00,False
3,1444,Neo Destiny,N4,2002-02-28T00:00:00,False
3,1389,Neo Revelation,N3,2001-09-21T00:00:00,False
3,648,Southern Islands,SI,2001-07-31T00:00:00,False
3,1434,Neo Discovery,N2,2001-06-01T00:00:00,False
3,1396,Neo Genesis,N1,2000-12-16T00:00:00,False
3,1440,Gym Challenge,G2,2000-10-16T00:00:00,False
3,1441,Gym Heroes,G1,2000-10-14T00:00:00,False
3,1373,Team Rocket,TR,2000-04-24T00:00:00,False
3,605,Base Set 2,BS2,2000-02-24T00:00:00,False
3,630,Fossil,FO,1999-10-10T00:00:00,False
3,1418,WoTC Promo,PR,1999-07-01T00:00:00,False
3,635,Jungle,JU,1999-06-16T00:00:00,False
3,604,Base Set,BS,1999-01-09T00:00:00,False
3,1663,Base Set (Shadowless),BSS,1999-01-09T00:00:00,False
3,1543,EX Trainer Kit 1: Latias & Latios,PR,2026-08-09T20:00:05.7009691Z,False
3,1542,EX Trainer Kit 2: Plusle & Minun,PR,2026-08-09T20:00:05.7009691Z,False
3,1423,Nintendo Promos,PR,2026-08-09T20:00:05.7518883Z,False
3,1422,POP Series 1,POP,2026-08-09T20:00:05.7518883Z,False
3,1447,POP Series 2,POP,2026-08-09T20:00:05.7518883Z,False
3,1442,POP Series 3,POP,2026-08-09T20:00:05.7518883Z,False
3,1452,POP Series 4,POP,2026-08-09T20:00:05.7518883Z,False
3,1439,POP Series 5,POP,2026-08-09T20:00:05.7518883Z,False
3,1432,POP Series 6,POP,2026-08-09T20:00:05.7518883Z,False
3,1414,POP Series 7,POP,2026-08-09T20:00:05.7518883Z,False
3,1450,POP Series 8,POP,2026-08-09T20:00:05.7518883Z,False
3,1446,POP Series 9,POP,2026-08-09T20:00:05.7518883Z,False
3,1938,Alternate Art Promos,PR,2026-08-09T20:00:05.7518883Z,True
3,2289,Blister Exclusives,BLE,2026-08-09T20:00:05.7518883Z,True
3,2175,Burger King Promos,BKP,2026-08-09T20:00:05.7518883Z,True
3,2776,First Partner Pack,FPP,2026-08-09T20:00:05.7518883Z,True
3,2374,Miscellaneous Cards & Products,MCAP,2026-08-09T20:00:05.7518883Z,True
3,2205,Pikachu World Collection Promos,PWCP,2026-08-09T20:00:05.7518883Z,True
3,2332,Professor Program Promos,PPP,2026-08-09T20:00:05.7518883Z,True
68,24708,Set Sail Deck Set,SD01,2026-09-18T00:00:00,False
68,24736,The World's Strongest Warriors,OP17,2026-08-28T00:00:00,False
68,24775,The World's Strongest Warriors Release Event Cards,OP17 RE,2026-08-21T00:00:00,False
68,24749,Starter Deck 31: RED Monkey.D.Luffy,ST-31,2026-07-31T00:00:00,False
68,24750,Starter Deck 32: GREEN Roronoa Zoro,ST-32,2026-07-31T00:00:00,False
68,24751,Starter Deck 33: BLUE Kuzan,ST-33,2026-07-31T00:00:00,False
68,24752,Starter Deck 34: PURPLE Charlotte Katakuri,ST-34,2026-07-31T00:00:00,False
68,24753,Starter Deck 35: RED/BLACK Sabo,ST-35,2026-07-31T00:00:00,False
68,24754,"Starter Deck 36: YELLOW Eustass""Captain""Kid",ST-36,2026-07-31T00:00:00,False
68,24678,Starter Deck EX: Luffy & Ace,ST-30,2026-06-12T00:00:00,False
68,24664,The Time of Battle,OP16,2026-06-12T00:00:00,False
68,24677,The Time of Battle Release Event Cards,OP16 RE,2026-06-05T00:00:00,False
68,24637,Adventure on Kami's Island,OP15-EB04,2026-04-03T00:00:00,False
68,24638,Adventure on Kami's Island Release Event Cards,OP15 RE,2026-03-27T00:00:00,False
68,24545,Extra Booster: One Piece Heroines Edition,EB-03,2026-02-20T00:00:00,False
68,24575,Starter Deck 29: Egghead,ST-29,2026-01-16T00:00:00,False
68,24537,The Azure Sea's Seven,OP14,2026-01-16T00:00:00,False
68,24579,The Azure Sea's Seven Release Event Cards,OP14 RE,2026-01-09T00:00:00,False
68,24303,Carrying On His Will,OP13,2025-11-07T00:00:00,False
68,24498,Carrying On His Will: 3rd Anniversary Tournament Cards,OP13 ANN,2025-10-31T00:00:00,False
68,24306,Learn Together Deck Set,LT-01,2025-10-03T00:00:00,False
68,24305,Premium Booster -The Best- Vol. 2,PRB-02,2025-10-03T00:00:00,False
68,24304,Starter Deck 22: Ace & Newgate,ST-22,2025-09-05T00:00:00,False
68,24302,Legacy of the Master,OP12,2025-08-22T00:00:00,False
68,24406,Legacy of the Master Release Event Cards,OP12 RE,2025-08-15T00:00:00,False
68,24241,A Fist of Divine Speed,OP11,2025-06-06T00:00:00,False
68,24282,Starter Deck 23: RED Shanks,ST-23,2025-06-06T00:00:00,False
68,24283,Starter Deck 24: GREEN Jewelry Bonney,ST-24,2025-06-06T00:00:00,False
68,24284,Starter Deck 25: BLUE Buggy,ST-25,2025-06-06T00:00:00,False
68,24285,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy,ST-26,2025-06-06T00:00:00,False
68,24286,Starter Deck 27: BLACK Marshall.D.Teach,ST-27,2025-06-06T00:00:00,False
68,24287,Starter Deck 28: GREEN/YELLOW Yamato,ST-28,2025-06-06T00:00:00,False
68,24242,A Fist of Divine Speed Release Event Cards,OP11 RE,2025-05-30T00:00:00,False
68,23834,Extra Booster: Anime 25th Collection,EB-02,2025-05-09T00:00:00,False
68,23766,Royal Blood,OP10,2025-03-21T00:00:00,False
68,24068,Royal Blood Release Event Cards,OP10 RE,2025-03-14T00:00:00,False
68,23991,Starter Deck EX: Gear 5,ST-21,2025-03-14T00:00:00,False
68,23589,Emperors in the New World,OP09,2024-12-13T00:00:00,False
68,23590,Emperors in the New World: 2nd Anniversary Tournament Cards,OP09 ANN,2024-12-06T00:00:00,False
68,23907,One Piece Demo Deck Cards,OP-DD,2024-12-05T00:00:00,False
68,23890,Revision Pack Cards,OP-RP,2024-11-26T00:00:00,False
68,23496,Premium Booster -The Best-,PRB-01,2024-11-08T00:00:00,False
68,23490,Starter Deck 15: RED Edward.Newgate,ST-15,2024-10-25T00:00:00,False
68,23491,Starter Deck 16: GREEN Uta,ST-16,2024-10-25T00:00:00,False
68,23492,Starter Deck 17: BLUE Donquixote Doflamingo,ST-17,2024-10-25T00:00:00,False
68,23493,Starter Deck 18: PURPLE Monkey.D.Luffy,ST-18,2024-10-25T00:00:00,False
68,23494,Starter Deck 19: BLACK Smoker,ST-19,2024-10-25T00:00:00,False
68,23495,Starter Deck 20: YELLOW Charlotte Katakuri,ST-20,2024-10-25T00:00:00,False
68,23462,Two Legends,OP08,2024-09-13T00:00:00,False
68,23737,Two Legends Pre-Release Cards,OP08 PRE,2024-09-06T00:00:00,False
68,23489,Starter Deck 14: 3D2Y,ST-14,2024-08-16T00:00:00,False
68,23387,500 Years in the Future,OP07,2024-06-28T00:00:00,False
68,23512,500 Years in the Future Pre-Release Cards,OP07 PRE,2024-06-21T00:00:00,True
68,23333,Extra Booster: Memorial Collection,EB-01,2024-05-03T00:00:00,False
68,23349,Ultra Deck: The Three Brothers,ST-13,2024-04-19T00:00:00,False
68,23348,Starter Deck 12: Zoro and Sanji,ST-12,2024-03-15T00:00:00,False
68,23272,Wings of the Captain,OP06,2024-03-15T00:00:00,False
68,23424,Wings of the Captain Pre-Release Cards,OP06 PRE,2024-03-08T00:00:00,False
68,23250,Starter Deck 11: Uta,ST-11,2024-02-02T00:00:00,False
68,23213,Awakening of the New Era,OP05,2023-12-08T00:00:00,False
68,23368,Awakening of the New Era: 1st Anniversary Tournament Cards,OP05 ANN,2023-12-08T00:00:00,False
68,23243,Ultra Deck: The Three Captains,ST-10,2023-11-10T00:00:00,False
68,23304,One Piece Collection Sets,OP-CS,2023-11-03T00:00:00,False
68,23024,Kingdoms of Intrigue,OP04,2023-09-22T00:00:00,False
68,23297,Kingdoms of Intrigue Pre-Release Cards,OP04 PRE,2023-09-15T00:00:00,False
68,22956,Starter Deck 8: Monkey.D.Luffy,ST-08,2023-08-11T00:00:00,False
68,22957,Starter Deck 9: Yamato,ST-09,2023-08-11T00:00:00,False
68,22890,Pillars of Strength,OP03,2023-06-30T00:00:00,False
68,23232,Pillars of Strength Pre-Release Cards,OP03 PRE,2023-06-30T00:00:00,False
68,22930,Starter Deck 7: Big Mom Pirates,ST-07,2023-06-30T00:00:00,False
68,17698,Paramount War,OP02,2023-03-10T00:00:00,False
68,17699,Starter Deck 6: Absolute Justice,ST-06,2023-03-10T00:00:00,False
68,22934,Paramount War Pre-Release Cards,OP02 PRE,2023-03-03T00:00:00,False
68,17687,Starter Deck 5: Film Edition,ST-05,2023-02-03T00:00:00,False
68,3188,Romance Dawn,OP01,2022-12-02T00:00:00,False
68,3189,Starter Deck 1: Straw Hat Crew,ST-01,2022-12-02T00:00:00,False
68,3191,Starter Deck 2: Worst Generation,ST-02,2022-12-02T00:00:00,False
68,3192,Starter Deck 3: The Seven Warlords of The Sea,ST-03,2022-12-02T00:00:00,False
68,3190,Starter Deck 4: Animal Kingdom Pirates,ST-04,2022-12-02T00:00:00,False
68,17675,One Piece Promotion Cards,OP-PR,2022-09-30T00:00:00,False
68,17659,Super Pre-Release Starter Deck 1: Straw Hat Crew,ST-01 PRE,2022-09-30T00:00:00,False
68,17658,Super Pre-Release Starter Deck 2: Worst Generation,ST-02 PRE,2022-09-30T00:00:00,False
68,17660,Super Pre-Release Starter Deck 3: The Seven Warlords of the Sea,ST-03 PRE,2022-09-30T00:00:00,False
68,17661,Super Pre-Release Starter Deck 4: Animal Kingdom Pirates,ST-04 PRE,2022-09-30T00:00:00,False
